wave,baren,vegetation,snow
404.596649,0.048214,0.032313,0.78037
414.278656,0.053839,0.036378,0.798686
423.964661,0.059259,0.040975,0.828469
433.654663,0.061117,0.039699,0.834555
443.34967,0.064085,0.040739,0.844737
453.049652,0.066515,0.042102,0.849759
462.752655,0.069569,0.042711,0.863749
472.460663,0.069859,0.042024,0.864393
482.173645,0.070912,0.042065,0.86875
491.890656,0.070751,0.041073,0.86417
501.611664,0.071554,0.041656,0.863115
511.337646,0.070602,0.043385,0.847482
521.067688,0.073382,0.050591,0.852944
530.801636,0.076043,0.057086,0.853731
540.540649,0.079203,0.063888,0.859219
550.28363,0.082663,0.067553,0.866323
560.031677,0.083513,0.066114,0.860133
569.78363,0.084392,0.062147,0.855222
579.539673,0.086261,0.057952,0.856394
589.300659,0.089828,0.057568,0.862343
599.065674,0.090682,0.056062,0.859668
608.835632,0.0924,0.055103,0.859343
618.608643,0.094174,0.053635,0.858499
628.387634,0.095505,0.053959,0.855876
638.169678,0.09796,0.053853,0.853929
647.957642,0.100809,0.052449,0.85651
657.748657,0.101407,0.050795,0.852984
667.544678,0.103744,0.050062,0.858049
655.475647,0.101823,0.052708,0.855616
665.282654,0.103352,0.049559,0.857517
675.084656,0.105138,0.048474,0.859792
684.881653,0.107948,0.053,0.860367
694.672668,0.112662,0.075669,0.857659
704.459656,0.117946,0.120696,0.851349
714.240662,0.124815,0.178916,0.844918
724.016663,0.131756,0.256121,0.829369
733.786682,0.133948,0.333796,0.816681
743.552673,0.13713,0.404781,0.811284
753.312683,0.141574,0.456062,0.803056
763.067688,0.142194,0.474155,0.782891
772.81665,0.142796,0.492013,0.762854
782.561646,0.148442,0.510475,0.759287
792.300659,0.151066,0.521161,0.747878
802.035645,0.153119,0.529136,0.742473
811.764648,0.159021,0.547135,0.744504
821.487671,0.160295,0.552486,0.739558
831.206665,0.159116,0.548769,0.734549
840.919678,0.158986,0.546922,0.730631
850.627686,0.162695,0.556738,0.724074
860.330688,0.164124,0.55958,0.703491
870.028687,0.16626,0.565208,0.680834
879.720642,0.168022,0.567622,0.653764
889.407654,0.173347,0.581704,0.636511
899.090637,0.18238,0.606963,0.624862
908.766663,0.180118,0.596573,0.598025
918.43866,0.175215,0.574814,0.576027
928.104675,0.203436,0.659015,0.614258
937.766663,0.214432,0.687442,0.58544
947.422668,0.191534,0.581849,0.479826
957.072632,0.198329,0.571812,0.453173
966.718689,0.202231,0.567458,0.441393
976.358643,0.198835,0.551503,0.413572
985.994629,0.200658,0.551073,0.39216
995.624634,0.200942,0.549239,0.368013
1005.253662,0.203431,0.554271,0.349045
1014.863647,0.208878,0.568865,0.341586
1024.483643,0.212143,0.578408,0.340398
1034.093628,0.214008,0.58468,0.346869
1043.693604,0.217006,0.591204,0.362572
1053.293701,0.21803,0.593167,0.383419
1062.883667,0.217525,0.587992,0.403604
1072.473633,0.219975,0.588993,0.422647
1082.063599,0.220845,0.583559,0.42247
1091.633667,0.225736,0.587362,0.426096
1101.213623,0.231449,0.593055,0.415506
1110.773682,0.237919,0.596803,0.40111
1120.343628,0.244895,0.603397,0.363393
1129.893677,0.238616,0.569571,0.335001
1139.443604,0.236099,0.521671,0.309247
1148.993652,0.239897,0.483784,0.272299
1158.533691,0.232294,0.43796,0.245434
1168.073608,0.2407,0.437644,0.229046
1177.603638,0.248415,0.440492,0.206986
1187.133667,0.248952,0.431027,0.180945
1196.653687,0.252872,0.429686,0.162997
1206.163696,0.251918,0.4218,0.145372
1215.673706,0.255213,0.424728,0.13562
1225.183716,0.257932,0.428622,0.128228
1234.683716,0.261487,0.432558,0.124422
1244.173706,0.263478,0.433864,0.120993
1253.663696,0.262769,0.432492,0.118873
1263.143677,0.255692,0.418303,0.118362
1253.353638,0.262486,0.430395,0.119002
1263.333618,0.258759,0.419476,0.117952
1273.303711,0.26317,0.419968,0.120395
1283.273682,0.275927,0.435491,0.124474
1293.243652,0.291419,0.445454,0.129586
1303.213623,0.302124,0.445981,0.128004
1313.193604,0.308292,0.43355,0.122945
1432.833618,0.288753,0.120502,0.012801
1442.793701,0.282875,0.10928,0.010912
1452.763672,0.289793,0.106934,0.00887
1462.733643,0.312811,0.115456,0.008736
1472.703613,0.304132,0.114128,0.007036
1482.663696,0.301897,0.114294,0.006786
1492.633667,0.29867,0.115981,0.007177
1502.603638,0.303002,0.122113,0.007028
1512.573608,0.308891,0.132681,0.007545
1522.533691,0.312873,0.139646,0.007458
1532.503662,0.31752,0.14893,0.007683
1542.463623,0.322399,0.15867,0.007992
1552.433716,0.325248,0.168587,0.008814
1562.403687,0.324317,0.174154,0.008989
1572.363647,0.322402,0.177971,0.00933
1582.333618,0.320536,0.183957,0.009646
1592.293701,0.327189,0.193318,0.010803
1602.263672,0.333914,0.202134,0.011282
1612.223633,0.337831,0.208459,0.011531
1622.183716,0.343929,0.216845,0.01277
1632.153687,0.348647,0.223285,0.012844
1642.113647,0.350977,0.227075,0.013152
1652.073608,0.352838,0.230346,0.014264
1662.043701,0.355346,0.233257,0.014371
1672.003662,0.34965,0.23028,0.015487
1681.963623,0.35186,0.229168,0.016134
1691.933716,0.350007,0.224883,0.016593
1701.893677,0.350019,0.223315,0.017806
1711.853638,0.346762,0.217338,0.018355
1721.813599,0.346859,0.212231,0.018795
1731.773682,0.342956,0.205142,0.018623
1741.733643,0.34713,0.202832,0.018943
1751.693604,0.349268,0.197574,0.018982
1761.663696,0.350344,0.19227,0.019171
1771.623657,0.347334,0.185968,0.019008
1781.583618,0.349409,0.184104,0.019091
1791.543701,0.351574,0.185276,0.019662
1967.363647,0.341585,0.063677,0.00807
1977.393677,0.338143,0.060928,0.007513
1987.433716,0.325472,0.060831,0.007372
1997.463623,0.264998,0.055649,0.006179
2007.503662,0.294547,0.073894,0.009715
2017.523682,0.347228,0.082151,0.009805
2027.553711,0.332879,0.07458,0.008161
2037.583618,0.308232,0.071823,0.007749
2047.603638,0.282441,0.070457,0.007626
2057.623779,0.29683,0.080352,0.008763
2067.643555,0.296997,0.082239,0.008577
2077.653564,0.29641,0.084359,0.008455
2087.663574,0.292169,0.085132,0.00837
2097.683594,0.29228,0.088648,0.008656
2107.683594,0.287285,0.09024,0.008792
2117.693604,0.290569,0.092618,0.009077
2127.693604,0.292892,0.096944,0.009712
2137.703613,0.292363,0.095683,0.010003
2147.693604,0.288629,0.097557,0.010277
2157.693604,0.288547,0.099951,0.01082
2167.693604,0.289682,0.102134,0.011513
2177.683594,0.289714,0.101362,0.01165
2187.673584,0.290026,0.104687,0.011824
2197.663574,0.287645,0.105131,0.012411
2207.643555,0.299474,0.110438,0.012896
2217.633545,0.30034,0.110221,0.013696
2227.61377,0.295712,0.109508,0.013598
2237.58374,0.290824,0.104985,0.013725
2247.563721,0.280124,0.101318,0.013658
2257.533691,0.270579,0.096043,0.013269
2267.513672,0.262599,0.091859,0.012933
2277.483643,0.259025,0.08784,0.012078
2287.443604,0.250175,0.084132,0.011593
2297.413574,0.246276,0.081557,0.010563
2307.373779,0.246826,0.080163,0.010224
2317.33374,0.236644,0.07503,0.009394
2327.293701,0.244961,0.075893,0.009142
2337.243652,0.231416,0.070123,0.008376
2347.203613,0.230243,0.067821,0.007416
2357.153564,0.242858,0.07055,0.007531
2367.09375,0.227633,0.063021,0.006888
2377.043701,0.23438,0.066008,0.006362
2386.993652,0.237607,0.062787,0.006824
2396.933594,0.236945,0.059771,0.006323
2406.873779,0.224857,0.056162,0.006108
2416.803711,0.228211,0.054983,0.00549
2426.743652,0.223114,0.052701,0.005946
2436.673584,0.217122,0.04915,0.005486
2446.60376,0.186475,0.043113,0.004252
